id,name,displayName,created,description,modified,entitlements,groups,permissions
TITLE-IP_DISCLOSURE_DESK,IP Disclosure Desk,IP Disclosure Desk,,Invention disclosure desk,,,,
TITLE-ER_CASE_DESK,ER Case Desk,ER Case Desk,,Employee relations cases,,,,
TITLE-REPLENISHMENT_PLANNER,Replenishment Planner,Replenishment Planner,,Inventory replenishment planning,,,,
TITLE-SKU_HEALTH_DESK,SKU Health Desk,SKU Health Desk,,SKU health monitoring,,,,
TITLE-ENCOUNTER_NOTE_DESK,Encounter Note Desk,Encounter Note Desk,,Clinical encounter notes,,,,
TITLE-PAYROLL_RUN_DESK,Payroll Run Desk,Payroll Run Desk,,Payroll run processing,,,,
TITLE-GARNISHMENT_DESK,Garnishment Desk,Garnishment Desk,,Wage garnishment processing,,,,
TITLE-CONTROL_BLUEPRINT_DESK,Control Blueprint Desk,Control Blueprint Desk,,Security architecture blueprints,,,,
TITLE-ZERO_TRUST_DESIGN_DESK,Zero Trust Design Desk,Zero Trust Design Desk,,Zero trust design workspace,,,,
TITLE-WAREHOUSE_OPS_DESK,Warehouse Ops Desk,Warehouse Ops Desk,,Warehouse operations oversight,,,,
TITLE-CIRCUIT_INVENTORY_DESK,Circuit Inventory Desk,Circuit Inventory Desk,,Network circuit inventory,,,,
TITLE-WAN_HEALTH_DESK,WAN Health Desk,WAN Health Desk,,WAN health monitoring,,,,
TITLE-SPEND_CATEGORY_DESK,Spend Category Desk,Spend Category Desk,,Procurement category analysis,,,,
TITLE-TEST_CASE_LIBRARY,Test Case Library,Test Case Library,,QA test case library,,,,
TITLE-RELEASE_SIGNOFF_DESK,Release Signoff Desk,Release Signoff Desk,,QA release sign-off,,,,
TITLE-SOURCING_EVENT_DESK,Sourcing Event Desk,Sourcing Event Desk,,Sourcing event management,,,,
TITLE-CONTRACT_DESK,Contract Desk,Contract Desk,,Procurement contract desk,,,,
TITLE-DEMAND_SENSING_DESK,Demand Sensing Desk,Demand Sensing Desk,,Advanced demand sensing,,,,
TITLE-SAFETY_STOCK_DESK,Safety Stock Desk,Safety Stock Desk,,Safety stock optimization,,,,
TITLE-STAGING_CODE_BENCH,Staging Code Bench,Staging Code Bench,,Staging development bench,,,,
TITLE-ORG_CHART_DESK,Org Chart Desk,Org Chart Desk,,Organization chart management,,,,
TITLE-WORKFORCE_PLAN_DESK,Workforce Plan Desk,Workforce Plan Desk,,Workforce planning,,,,
TITLE-FIREWALL_CHANGE_DESK,Firewall Change Desk,Firewall Change Desk,,Firewall change requests,,,,
TITLE-DNS_OPS_DESK,DNS Ops Desk,DNS Ops Desk,,DNS operations desk,,,,
TITLE-STAGING_RELEASE_BOARD,Staging Release Board,Staging Release Board,,Staging release board,,,,
TITLE-UNIT_CENSUS_DESK,Unit Census Desk,Unit Census Desk,,Nursing unit census,,,,
TITLE-SHIFT_HANDOFF_DESK,Shift Handoff Desk,Shift Handoff Desk,,Charge nurse handoff,,,,
TITLE-PLAN_DESIGN_DESK,Plan Design Desk,Plan Design Desk,,Benefits plan design,,,,
TITLE-EDGE_OPS_DESK,Edge Ops Desk,Edge Ops Desk,,Distributed systems operations,,,,
TITLE-SITE_RELIABILITY_BOARD,Site Reliability Board,Site Reliability Board,,Site reliability board,,,,
TITLE-PAYROLL_EXCEPTION_DESK,Payroll Exception Desk,Payroll Exception Desk,,Complex payroll exceptions,,,,
TITLE-TAX_FILING_DESK,Tax Filing Desk,Tax Filing Desk,,Payroll tax filing,,,,
TITLE-FEATURE_BACKLOG_DESK,Feature Backlog Desk,Feature Backlog Desk,,Product feature backlog,,,,
TITLE-AR_AGING_DESK,AR Aging Desk,AR Aging Desk,,AR aging oversight,,,,
TITLE-CASH_APP_DESK,Cash App Desk,Cash App Desk,,Cash application oversight,,,,
TITLE-AP_CONTROL_DESK,AP Control Desk,AP Control Desk,,AP control oversight,,,,
TITLE-QUALITY_GATE_BOARD,Quality Gate Board,Quality Gate Board,,Internal QA gate board,,,,
TITLE-DEFECT_TREND_DESK,Defect Trend Desk,Defect Trend Desk,,Defect trend analysis,,,,
TITLE-OPS_KPI_DESK,Ops KPI Desk,Ops KPI Desk,,Operations KPI tracking,,,,
TITLE-SERVER_PATCH_DESK,Server Patch Desk,Server Patch Desk,,Unix server patching,,,,
TITLE-SHELL_OPS_DESK,Shell Ops Desk,Shell Ops Desk,,Unix shell operations,,,,
TITLE-PRODUCTION_CODE_BENCH,Production Code Bench,Production Code Bench,,Production development bench,,,,
TITLE-HOTFIX_DESK,Hotfix Desk,Hotfix Desk,,Production hotfix desk,,,,
TITLE-AUDIT_PLAN_DESK,Audit Plan Desk,Audit Plan Desk,,Internal audit planning,,,,
TITLE-PAYROLL_CALENDAR_DESK,Payroll Calendar Desk,Payroll Calendar Desk,,Payroll calendar management,,,,
TITLE-TIME_KEEP_DESK,Time Keep Desk,Time Keep Desk,,Timekeeping oversight,,,,
TITLE-EXECUTIVE_BRIEF_DESK,Executive Brief Desk,Executive Brief Desk,,Executive briefing materials,,,,
TITLE-TEAM_QUOTA_DESK,Team Quota Desk,Team Quota Desk,,Sales team quota tracking,,,,
TITLE-DEAL_DESK,Deal Desk,Deal Desk,,Sales deal desk,,,,
TITLE-STAGING_FEATURE_BENCH,Staging Feature Bench,Staging Feature Bench,,Advanced staging features,,,,
TITLE-INTEGRATION_HARNESS,Integration Harness,Integration Harness,,Staging integration harness,,,,
TITLE-ER_TRIAGE_DESK,ER Triage Desk,ER Triage Desk,,Emergency room triage,,,,
TITLE-OPS_COMMAND_DESK,Ops Command Desk,Ops Command Desk,,Operations command desk,,,,
TITLE-CAPACITY_PLAN_DESK,Capacity Plan Desk,Capacity Plan Desk,,Capacity planning,,,,
TITLE-QUEUE_PERFORMANCE_DESK,Queue Performance Desk,Queue Performance Desk,,Call center queue performance,,,,
TITLE-DBA_CONSOLE_DESK,DBA Console Desk,DBA Console Desk,,Oracle DBA console,,,,
TITLE-SCHEMA_CHANGE_DESK,Schema Change Desk,Schema Change Desk,,Oracle schema changes,,,,
TITLE-LINE_SCHEDULE_DESK,Line Schedule Desk,Line Schedule Desk,,Production line scheduling,,,,
TITLE-YIELD_TRACKER_DESK,Yield Tracker Desk,Yield Tracker Desk,,Production yield tracking,,,,
TITLE-PRODUCT_SPRINT_DESK,Product Sprint Desk,Product Sprint Desk,,Product sprint workspace,,,,
TITLE-ARCHITECTURE_LAB_DESK,Architecture Lab Desk,Architecture Lab Desk,,Product architecture lab,,,,
TITLE-TECH_DEBT_BOARD,Tech Debt Board,Tech Debt Board,,Technical debt board,,,,
TITLE-CLINICAL_GOVERNANCE_DESK,Clinical Governance Desk,Clinical Governance Desk,,Clinical governance oversight,,,,
TITLE-TOTAL_REWARDS_DESK,Total Rewards Desk,Total Rewards Desk,,Total rewards design,,,,
TITLE-EQUITY_PLAN_DESK,Equity Plan Desk,Equity Plan Desk,,Equity plan administration,,,,
TITLE-SHIFT_ROSTER_DESK,Shift Roster Desk,Shift Roster Desk,,Operations shift roster,,,,
TITLE-BUILD_SCRIPT_DESK,Build Script Desk,Build Script Desk,,Production build scripts,,,,
TITLE-CI_PIPELINE_DESK,CI Pipeline Desk,CI Pipeline Desk,,Continuous integration desk,,,,
TITLE-MAINFRAME_ACCESS_DESK,Mainframe Access Desk,Mainframe Access Desk,,RACF access administration,,,,
TITLE-SQL_OPS_CONSOLE,SQL Ops Console,SQL Ops Console,,SQL Server operations,,,,
TITLE-BACKUP_RESTORE_DESK,Backup Restore Desk,Backup Restore Desk,,Database backup restore,,,,
TITLE-UNIT_STAFFING_DESK,Unit Staffing Desk,Unit Staffing Desk,,Nursing unit staffing,,,,
TITLE-CARE_QUALITY_DESK,Care Quality Desk,Care Quality Desk,,Nursing care quality,,,,
TITLE-ASSET_ALLOCATION_DESK,Asset Allocation Desk,Asset Allocation Desk,,Asset allocation oversight,,,,
TITLE-DATA_PLATFORM_DESK,Data Platform Desk,Data Platform Desk,,Database platform oversight,,,,
TITLE-REPLICATION_DESK,Replication Desk,Replication Desk,,Database replication desk,,,,
TITLE-TICKET_TRIAGE_DESK,Ticket Triage Desk,Ticket Triage Desk,,Helpdesk ticket triage,,,,
TITLE-FINANCE_OPS_DESK,Finance Ops Desk,Finance Ops Desk,,Senior finance operations,,,,
TITLE-AUDIT_LIAISON_DESK,Audit Liaison Desk,Audit Liaison Desk,,External audit liaison,,,,
TITLE-PLANT_OPS_DESK,Plant Ops Desk,Plant Ops Desk,,Plant operations oversight,,,,
TITLE-HIRING_PLAN_DESK,Hiring Plan Desk,Hiring Plan Desk,,Employment hiring plans,,,,
TITLE-OFFER_DESK,Offer Desk,Offer Desk,,Employment offer desk,,,,
TITLE-ADVANCED_TEST_BENCH,Advanced Test Bench,Advanced Test Bench,,Advanced production testing,,,,
TITLE-FIXTURE_LAB_DESK,Fixture Lab Desk,Fixture Lab Desk,,Test fixture laboratory,,,,
TITLE-MARKET_RESEARCH_DESK,Market Research Desk,Market Research Desk,,Treasury market research,,,,
