id,name,description
L004-B003-R003,Seminar Room 303,Seminar Room 303 located at Block 3
L004-B003-R004,Seminar Room 304,Seminar Room 304 located at Block 3
L004-B003-R005,Student Lounge,Student Lounge located at Block 3
L004-B004-R001,Main Control Desk,Main Control Desk located at Power Station
L004-B004-R002,Turbine Floor,Turbine Floor located at Power Station
L004-B004-R003,Grid Operations,Grid Operations located at Power Station
L004-B004-R004,Battery Storage,Battery Storage located at Power Station
L004-B004-R005,Safety Station,Safety Station located at Power Station
L005-B001-R001,Primary Reception,Primary Reception located at Primary Facility
L005-B001-R002,Workspace East,Workspace East located at Primary Facility
L005-B001-R003,Workspace West,Workspace West located at Primary Facility
L005-B001-R004,Main Conference Hall,Main Conference Hall located at Primary Facility
L005-B001-R005,Coffee Nook,Coffee Nook located at Primary Facility
L005-B002-R001,Flex Area 1,Flex Area 1 located at Secondary Facility
L005-B002-R002,Flex Area 2,Flex Area 2 located at Secondary Facility
L005-B002-R003,Huddle Pod Green,Huddle Pod Green located at Secondary Facility
L005-B002-R004,Huddle Pod Blue,Huddle Pod Blue located at Secondary Facility
L005-B002-R005,Supply Depot,Supply Depot located at Secondary Facility
L005-B003-R001,Secured Vault A,Secured Vault A located at Storage Vault
L005-B003-R002,Secured Vault B,Secured Vault B located at Storage Vault
L005-B003-R003,Receiving Bay,Receiving Bay located at Storage Vault
L005-B003-R004,Archive Room,Archive Room located at Storage Vault
L005-B003-R005,Data Scanning Room,Data Scanning Room located at Storage Vault
L005-B004-R001,Bulk Storage Area,Bulk Storage Area located at Loading Dock
L005-B004-R002,Cold Storage Room,Cold Storage Room located at Loading Dock
L005-B004-R003,High-Value Cage,High-Value Cage located at Loading Dock
L005-B004-R004,Freight Elevator Lobby,Freight Elevator Lobby located at Loading Dock
L005-B004-R005,Logistics Desk,Logistics Desk located at Loading Dock
L006-B001-R001,Robotics Workshop,Robotics Workshop located at Alpha Lab
L006-B001-R002,Machine Learning Lab,Machine Learning Lab located at Alpha Lab
L006-B001-R003,Flight Test Cage,Flight Test Cage located at Alpha Lab
L006-B001-R004,Soldering Lab,Soldering Lab located at Alpha Lab
L006-B001-R005,Project Lounge,Project Lounge located at Alpha Lab
L006-B002-R001,Biochemistry Bench,Biochemistry Bench located at Beta Lab
L006-B002-R002,Clean Room,Clean Room located at Beta Lab
L006-B002-R003,Incubation Area,Incubation Area located at Beta Lab
L006-B002-R004,Analysis Lab,Analysis Lab located at Beta Lab
L006-B002-R005,Research Library,Research Library located at Beta Lab
L006-B003-R001,Optics and Laser Bay,Optics and Laser Bay located at Gamma Lab
L006-B003-R002,Photonic Darkroom,Photonic Darkroom located at Gamma Lab
L006-B003-R003,Laser Assembly,Laser Assembly located at Gamma Lab
L006-B003-R004,Calibration Desk,Calibration Desk located at Gamma Lab
L006-B003-R005,Engineer Pod,Engineer Pod located at Gamma Lab
L006-B004-R001,Immersive Simulation Lab,Immersive Simulation Lab located at Delta Lab
L006-B004-R002,Recording Stage,Recording Stage located at Delta Lab
L006-B004-R003,Render Farm,Render Farm located at Delta Lab
L006-B004-R004,Motion Studio,Motion Studio located at Delta Lab
L006-B004-R005,Interactive Area,Interactive Area located at Delta Lab
L007-B001-R001,Tenant Space 100,Tenant Space 100 located at Plaza 1
L007-B001-R002,Tenant Space 101,Tenant Space 101 located at Plaza 1
L007-B001-R003,Tenant Space 102,Tenant Space 102 located at Plaza 1
L007-B001-R004,Plaza Conference Room,Plaza Conference Room located at Plaza 1
L007-B001-R005,Pantry Room,Pantry Room located at Plaza 1
L007-B002-R001,Tenant Space 200,Tenant Space 200 located at Plaza 2
L007-B002-R002,Tenant Space 201,Tenant Space 201 located at Plaza 2
L007-B002-R003,Tenant Space 202,Tenant Space 202 located at Plaza 2
L007-B002-R004,Study Zone,Study Zone located at Plaza 2
L007-B002-R005,Document Center,Document Center located at Plaza 2
L007-B003-R001,Communal Desk East,Communal Desk East located at Pavilion
L007-B003-R002,Communal Desk West,Communal Desk West located at Pavilion
L007-B003-R003,Focus Room A,Focus Room A located at Pavilion
L007-B003-R004,Focus Room B,Focus Room B located at Pavilion
L007-B003-R005,Atrium Coffee Lounge,Atrium Coffee Lounge located at Pavilion
L007-B004-R001,Server Row 01,Server Row 01 located at Data Center
L007-B004-R002,Server Row 02,Server Row 02 located at Data Center
L007-B004-R003,Network Command Center,Network Command Center located at Data Center
L007-B004-R004,Power Backup System,Power Backup System located at Data Center
L007-B004-R005,Cooling Infrastructure,Cooling Infrastructure located at Data Center
L008-B001-R001,Editing Bay 1,Editing Bay 1 located at Studio A
L008-B001-R002,Editing Bay 2,Editing Bay 2 located at Studio A
L008-B001-R003,Voiceover Booth,Voiceover Booth located at Studio A
L008-B001-R004,Production Desk,Production Desk located at Studio A
L008-B001-R005,Green Room,Green Room located at Studio A
L008-B002-R001,Main Cyclorama Stage,Main Cyclorama Stage located at Studio B
L008-B002-R002,Equipment Locker,Equipment Locker located at Studio B
L008-B002-R003,Video Control Room,Video Control Room located at Studio B
L008-B002-R004,Makeup and Wardrobe,Makeup and Wardrobe located at Studio B
L008-B002-R005,Screening Room,Screening Room located at Studio B
L008-B003-R001,CNC Routing Room,CNC Routing Room located at Workshop
L008-B003-R002,3D Printing Desk,3D Printing Desk located at Workshop
L008-B003-R003,Assembly Area,Assembly Area located at Workshop
L008-B003-R004,Finishing Hood,Finishing Hood located at Workshop
L008-B003-R005,Materials Inventory,Materials Inventory located at Workshop
L008-B004-R001,Main Exhibition Hall,Main Exhibition Hall located at Gallery
L008-B004-R002,Artwork Storage Vault,Artwork Storage Vault located at Gallery
L008-B004-R003,Ticketing Desk,Ticketing Desk located at Gallery
L008-B004-R004,Projection Alcove,Projection Alcove located at Gallery
L008-B004-R005,Courtyard Gallery,Courtyard Gallery located at Gallery
L009-B001-R001,Distribution Dock A,Distribution Dock A located at Depot 1
L009-B001-R002,Distribution Dock B,Distribution Dock B located at Depot 1
L009-B001-R003,Dock Supervisor Office,Dock Supervisor Office located at Depot 1
L009-B001-R004,Driver Locker Room,Driver Locker Room located at Depot 1
L009-B001-R005,Device Charging Room,Device Charging Room located at Depot 1
L009-B002-R001,Inbound Deck C,Inbound Deck C located at Depot 2
L009-B002-R002,Inbound Deck D,Inbound Deck D located at Depot 2
L009-B002-R003,Hazmat Storage Station,Hazmat Storage Station located at Depot 2
L009-B002-R004,Forklift Charging Zone,Forklift Charging Zone located at Depot 2
L009-B002-R005,Admin Annex,Admin Annex located at Depot 2
L009-B003-R001,Conveyor Control Booth,Conveyor Control Booth located at Sorting Facility
L009-B003-R002,Automated Scan Loop,Automated Scan Loop located at Sorting Facility
L009-B003-R003,Outbound Sorting Area,Outbound Sorting Area located at Sorting Facility
L009-B003-R004,Manual Sorting Table,Manual Sorting Table located at Sorting Facility
L009-B003-R005,Maintenance Garage,Maintenance Garage located at Sorting Facility
L009-B004-R001,Logistics Dispatch,Logistics Dispatch located at Headquarters
L009-B004-R002,Boardroom Lounge,Boardroom Lounge located at Headquarters
L009-B004-R003,Route Planning Hub,Route Planning Hub located at Headquarters
L009-B004-R004,Breakroom Kitchen,Breakroom Kitchen located at Headquarters
L009-B004-R005,Operations Admin,Operations Admin located at Headquarters
L010-B001-R001,Observation Desk A,Observation Desk A located at Outpost Station 1
L010-B001-R002,Observation Desk B,Observation Desk B located at Outpost Station 1
L010-B001-R003,Environmental Science Lab,Environmental Science Lab located at Outpost Station 1
L010-B001-R004,Sample Cryo Vault,Sample Cryo Vault located at Outpost Station 1
L010-B001-R005,Decontamination Airlock,Decontamination Airlock located at Outpost Station 1
L010-B002-R001,Telemetry Suite,Telemetry Suite located at Outpost Station 2
L010-B002-R002,System Mainframe,System Mainframe located at Outpost Station 2
L010-B002-R003,Power Generator Room,Power Generator Room located at Outpost Station 2
L010-B002-R004,Workshop Bay,Workshop Bay located at Outpost Station 2
L010-B002-R005,Station Control Room,Station Control Room located at Outpost Station 2
L010-B003-R001,Dorm Room 1,Dorm Room 1 located at Living Quarters
L010-B003-R002,Dorm Room 2,Dorm Room 2 located at Living Quarters
L010-B003-R003,Mess Hall Kitchen,Mess Hall Kitchen located at Living Quarters
L010-B003-R004,Medical Station,Medical Station located at Living Quarters
L010-B003-R005,Recreational Lounge,Recreational Lounge located at Living Quarters
L010-B004-R001,Uplink Terminal,Uplink Terminal located at Comms Dome
L010-B004-R002,Antenna Control Room,Antenna Control Room located at Comms Dome
L010-B004-R003,Encryption Suite,Encryption Suite located at Comms Dome
L010-B004-R004,Weather Diagnostics,Weather Diagnostics located at Comms Dome
L010-B004-R005,Backup Fuel Systems,Backup Fuel Systems located at Comms Dome
